*** Best viewed with word wrap disabled ***

Date           Time            Level           Source                                      Event
04-20-2026     13:34:53        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_PWA_X421 | Details. | IP = '<10.184.227.21>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A5C461.
04-20-2026     13:34:53        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.ESCO_DFB_X104 | Details. | IP = '<10.184.227.126>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0X70A41744.
04-20-2026     13:34:53        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_CSG | Details. | IP = '<10.184.227.16>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A07B8E.
04-20-2026     13:35:11        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.ACTINI_WW | Details. | IP = '<10.184.227.11>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 216, Revision= 35.11, Product name = '5069-L310ER/A', Product S/N = 0X7079D968.
04-20-2026     13:35:57        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.DFW_D110 | Details. | IP = '<10.184.227.101>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.12, Product name = '5069-L320ER/A', Product S/N = 0X70710546.
04-20-2026     13:35:57        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.DEC_SSU | Details. | IP = '<10.184.227.66>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 238, Revision= 35.13, Product name = 'Compact GuardLogix 5380 SIL2', Product S/N = 0X708E0EA9.
04-20-2026     13:35:58        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.IPEC_LD | Details. | IP = '<10.184.227.91>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 36.11, Product name = '5069-L320ER/A', Product S/N = 0XD095BF3B.
04-20-2026     13:35:58        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_PWH_X423 | Details. | IP = '<10.184.227.26>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A07AA8.
04-20-2026     13:35:58        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_LOOPO | Details. | IP = '<10.184.227.31>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A078D8.
04-20-2026     13:35:58        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_OSMO_X150 | Details. | IP = '<10.184.227.36>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD092BD21.
04-20-2026     13:35:59        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.ESCO_DFB_X103 | Details. | IP = '<10.184.227.86>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0X70A517AF.
04-20-2026     13:35:59        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_PWA_X421 | Details. | IP = '<10.184.227.21>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A5C461.
04-20-2026     13:35:59        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.ESCO_DFB_X104 | Details. | IP = '<10.184.227.126>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0X70A41744.
04-20-2026     13:35:59        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_CSG | Details. | IP = '<10.184.227.16>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A07B8E.
04-20-2026     13:36:18        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.ACTINI_WW | Details. | IP = '<10.184.227.11>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 216, Revision= 35.11, Product name = '5069-L310ER/A', Product S/N = 0X7079D968.
04-20-2026     13:37:03        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.DFW_D110 | Details. | IP = '<10.184.227.101>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.12, Product name = '5069-L320ER/A', Product S/N = 0X70710546.
04-20-2026     13:37:03        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.DEC_SSU | Details. | IP = '<10.184.227.66>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 238, Revision= 35.13, Product name = 'Compact GuardLogix 5380 SIL2', Product S/N = 0X708E0EA9.
04-20-2026     13:37:04        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.IPEC_LD | Details. | IP = '<10.184.227.91>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 36.11, Product name = '5069-L320ER/A', Product S/N = 0XD095BF3B.
04-20-2026     13:37:04        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_PWH_X423 | Details. | IP = '<10.184.227.26>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A07AA8.
04-20-2026     13:37:04        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_LOOPO | Details. | IP = '<10.184.227.31>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A078D8.
04-20-2026     13:37:04        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_OSMO_X150 | Details. | IP = '<10.184.227.36>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD092BD21.
04-20-2026     13:37:05        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.ESCO_DFB_X103 | Details. | IP = '<10.184.227.86>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0X70A517AF.
04-20-2026     13:37:05        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_PWA_X421 | Details. | IP = '<10.184.227.21>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A5C461.
04-20-2026     13:37:05        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.ESCO_DFB_X104 | Details. | IP = '<10.184.227.126>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0X70A41744.
04-20-2026     13:37:05        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_CSG | Details. | IP = '<10.184.227.16>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A07B8E.
04-20-2026     13:37:24        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.ACTINI_WW | Details. | IP = '<10.184.227.11>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 216, Revision= 35.11, Product name = '5069-L310ER/A', Product S/N = 0X7079D968.
04-20-2026     13:37:42        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.ESCO_DFB_X104 | Details. | IP = '<10.184.227.126>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0X70A41744.
04-20-2026     13:38:09        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.DFW_D110 | Details. | IP = '<10.184.227.101>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.12, Product name = '5069-L320ER/A', Product S/N = 0X70710546.
04-20-2026     13:38:09        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.DEC_SSU | Details. | IP = '<10.184.227.66>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 238, Revision= 35.13, Product name = 'Compact GuardLogix 5380 SIL2', Product S/N = 0X708E0EA9.
04-20-2026     13:38:10        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.IPEC_LD | Details. | IP = '<10.184.227.91>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 36.11, Product name = '5069-L320ER/A', Product S/N = 0XD095BF3B.
04-20-2026     13:38:10        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_PWH_X423 | Details. | IP = '<10.184.227.26>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A07AA8.
04-20-2026     13:38:10        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_LOOPO | Details. | IP = '<10.184.227.31>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A078D8.
04-20-2026     13:38:11        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_OSMO_X150 | Details. | IP = '<10.184.227.36>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD092BD21.
04-20-2026     13:38:11        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.ESCO_DFB_X103 | Details. | IP = '<10.184.227.86>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0X70A517AF.
04-20-2026     13:38:29        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.ACTINI_WW | Details. | IP = '<10.184.227.11>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 216, Revision= 35.11, Product name = '5069-L310ER/A', Product S/N = 0X7079D968.
04-20-2026     13:38:47        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.ESCO_DFB_X104 | Details. | IP = '<10.184.227.126>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0X70A41744.
04-20-2026     13:39:14        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.DFW_D110 | Details. | IP = '<10.184.227.101>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.12, Product name = '5069-L320ER/A', Product S/N = 0X70710546.
04-20-2026     13:39:15        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.DEC_SSU | Details. | IP = '<10.184.227.66>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 238, Revision= 35.13, Product name = 'Compact GuardLogix 5380 SIL2', Product S/N = 0X708E0EA9.
04-20-2026     13:39:15        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.IPEC_LD | Details. | IP = '<10.184.227.91>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 36.11, Product name = '5069-L320ER/A', Product S/N = 0XD095BF3B.
04-20-2026     13:39:15        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_PWH_X423 | Details. | IP = '<10.184.227.26>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A07AA8.
04-20-2026     13:39:16        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_LOOPO | Details. | IP = '<10.184.227.31>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A078D8.
04-20-2026     13:39:16        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_OSMO_X150 | Details. | IP = '<10.184.227.36>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD092BD21.
04-20-2026     13:39:16        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.ESCO_DFB_X103 | Details. | IP = '<10.184.227.86>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0X70A517AF.
04-20-2026     13:39:35        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.ACTINI_WW | Details. | IP = '<10.184.227.11>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 216, Revision= 35.11, Product name = '5069-L310ER/A', Product S/N = 0X7079D968.
04-20-2026     13:39:53        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.ESCO_DFB_X104 | Details. | IP = '<10.184.227.126>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0X70A41744.
04-20-2026     13:40:20        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.DFW_D110 | Details. | IP = '<10.184.227.101>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.12, Product name = '5069-L320ER/A', Product S/N = 0X70710546.
04-20-2026     13:40:20        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.DEC_SSU | Details. | IP = '<10.184.227.66>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 238, Revision= 35.13, Product name = 'Compact GuardLogix 5380 SIL2', Product S/N = 0X708E0EA9.
04-20-2026     13:40:21        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.IPEC_LD | Details. | IP = '<10.184.227.91>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 36.11, Product name = '5069-L320ER/A', Product S/N = 0XD095BF3B.
04-20-2026     13:40:21        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_PWH_X423 | Details. | IP = '<10.184.227.26>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A07AA8.
04-20-2026     13:40:21        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_LOOPO | Details. | IP = '<10.184.227.31>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A078D8.
04-20-2026     13:40:22        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_OSMO_X150 | Details. | IP = '<10.184.227.36>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD092BD21.
04-20-2026     13:40:22        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.ESCO_DFB_X103 | Details. | IP = '<10.184.227.86>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0X70A517AF.
04-20-2026     13:41:16        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.DFW_D110 | Details. | IP = '<10.184.227.101>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.12, Product name = '5069-L320ER/A', Product S/N = 0X70710546.
04-20-2026     13:41:16        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.DEC_SSU | Details. | IP = '<10.184.227.66>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 238, Revision= 35.13, Product name = 'Compact GuardLogix 5380 SIL2', Product S/N = 0X708E0EA9.
04-20-2026     13:41:17        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.IPEC_LD | Details. | IP = '<10.184.227.91>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 36.11, Product name = '5069-L320ER/A', Product S/N = 0XD095BF3B.
04-20-2026     13:41:17        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_PWH_X423 | Details. | IP = '<10.184.227.26>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A07AA8.
04-20-2026     13:41:17        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_LOOPO | Details. | IP = '<10.184.227.31>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A078D8.
04-20-2026     13:41:18        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_OSMO_X150 | Details. | IP = '<10.184.227.36>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD092BD21.
04-20-2026     13:41:18        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.ESCO_DFB_X103 | Details. | IP = '<10.184.227.86>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0X70A517AF.
04-20-2026     13:41:27        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.ACTINI_WW | Details. | IP = '<10.184.227.11>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 216, Revision= 35.11, Product name = '5069-L310ER/A', Product S/N = 0X7079D968.
04-20-2026     13:42:22        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.DFW_D110 | Details. | IP = '<10.184.227.101>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.12, Product name = '5069-L320ER/A', Product S/N = 0X70710546.
04-20-2026     13:42:22        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.DEC_SSU | Details. | IP = '<10.184.227.66>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 238, Revision= 35.13, Product name = 'Compact GuardLogix 5380 SIL2', Product S/N = 0X708E0EA9.
04-20-2026     13:42:22        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.IPEC_LD | Details. | IP = '<10.184.227.91>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 36.11, Product name = '5069-L320ER/A', Product S/N = 0XD095BF3B.
04-20-2026     13:42:23        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_PWH_X423 | Details. | IP = '<10.184.227.26>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A07AA8.
04-20-2026     13:42:23        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_LOOPO | Details. | IP = '<10.184.227.31>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A078D8.
04-20-2026     13:42:23        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_OSMO_X150 | Details. | IP = '<10.184.227.36>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD092BD21.
04-20-2026     13:42:23        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.ESCO_DFB_X103 | Details. | IP = '<10.184.227.86>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0X70A517AF.
04-20-2026     13:42:24        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_PWA_X421 | Details. | IP = '<10.184.227.21>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A5C461.
04-20-2026     13:42:24        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.ESCO_DFB_X104 | Details. | IP = '<10.184.227.126>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0X70A41744.
04-20-2026     13:42:24        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_CSG | Details. | IP = '<10.184.227.16>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A07B8E.
04-20-2026     13:42:33        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.ACTINI_WW | Details. | IP = '<10.184.227.11>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 216, Revision= 35.11, Product name = '5069-L310ER/A', Product S/N = 0X7079D968.
04-20-2026     13:43:28        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.BWT_OSMO_X151 | Details. | IP = '<10.184.227.121>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.11, Product name = '5069-L320ER/A', Product S/N = 0XD0A07960.
04-20-2026     13:43:28        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.DFW_D110 | Details. | IP = '<10.184.227.101>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 217, Revision= 33.12, Product name = '5069-L320ER/A', Product S/N = 0X70710546.
04-20-2026     13:43:28        Information     Allen-Bradley ControlLogix Ethernet         AB_ETH-IP.DEC_SSU | Details. | IP = '<10.184.227.66>,1,0:44818', Vendor ID = 1, Product type = 14, Product code = 238, Revision= 35.13, Product name = 'Compact GuardLogix 5380 SIL2', Product S/N = 0X708E0EA9.
